City,State,Blurb,Crowd size estimate (low),Crow size estimate (high),Event Type,Source,y,x,Crowd Size (mean estimate)
Spokane,WA,more than 1000,1000,1000,protest,http://www.spokesman.com/stories/2018/jun/30/joining-actions-around-the-country-more-than-1000-/,47.6458603,-117.39282,1000
Spring Hill,FL,around 50,50,50,protest,https://act.moveon.org/event/families-belong-together/20663/signup/?source=&s=,28.457158,-82.62091,50
Springfield,IL,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20284/signup/?source=&s=,39.8011518,-89.6486103,24
Springfield,MA,dozens; FB: 554; over 1000,24,1000,protest,https://www.wwlp.com/news/local-news/hampden-county/protesters-rally-in-springfield-about-separation-of-families/1275773483,42.101463,-72.588219,512
Springfield,MO,,,,protest,https://www.kansascity.com/news/local/article214062004.html,37.2166779,-93.2920373,
St George,UT,more than 100,100,100,protest,https://www.thespectrum.com/story/news/local/2018/06/30/families-belong-together-rally-st-george/748157002/,40.361734,-111.7401561,100
Stamford,CT,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20418/signup/?source=&s=,41.051595,-73.5427139,200
Starkville,MS,,,,protest,https://act.moveon.org/event/families-belong-together/20716/signup/?source=&s=,33.46384,-88.812381,
State College,PA,about 700,700,700,protest,https://act.moveon.org/event/families-belong-together/20178/signup/?source=&s=,40.793426,-77.860316,700
Staten Island,NY,about 100,100,100,protest,https://www.silive.com/news/2018/06/2_staten_island_families_separ.html,40.641928,-74.076146,100
Statesville,NC,,,,protest,https://act.moveon.org/event/families-belong-together/20587/signup/?source=&s=,35.7829567,-80.8936022,
Staunton,VA,nearly 40,40,40,protest,https://act.moveon.org/event/families-belong-together/20447/signup/?source=&s=,38.160423,-79.081459,40
Steamboat Springs,CO,,,,protest,https://act.moveon.org/event/families-belong-together/20493/signup/?source=&s=,40.49546,-106.87626,
Stevens Point,WI,about 180,180,180,protest,https://act.moveon.org/event/families-belong-together/20168/signup/?source=&s=,44.5422818,-89.5763156,180
Stevenson Ranch,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20227/signup/?source=&s=,37.741695,-121.441895,
Stockton,CA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19965/signup/?source=&s=,37.9577,-121.29078,200
Stratford,CT,more than 100; FB: 57,57,100,protest,https://www.facebook.com/events/401853777001365/,41.1845415,-73.1331651,78.5
Swarthmore,PA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20581/signup/?source=&s=,39.883314,-75.349718,200
Sycamore,IL,,18,18,protest,Facebook,41.9892624,-88.6850859,18
Syracuse,NY,200-300,200,300,protest,https://www.syracuse.com/news/index.ssf/2018/06/hundreds_brave_heat_in_syracuse_to_protest_trump_administrations_immigration_pol.html,43.0493321,-76.1525192,250
Tacoma,WA,FB: 643,643,643,protest,https://act.moveon.org/event/families-belong-together/20169/signup/?source=&s=,47.2603103,-122.4491774,643
Tahlequah,OK,,,,protest,https://act.moveon.org/event/families-belong-together/19917/signup/?source=&s=,35.900139,-94.999759,
Tallahassee,FL,FB: 465,465,465,protest,https://act.moveon.org/event/families-belong-together/20189/signup/?source=&s=,30.44191,-84.226681,465
Tampa,FL,FB: 978,978,978,protest,https://act.moveon.org/event/families-belong-together/20386/signup/?source=&s=,27.996097,-82.582035,978
Telluride,CO,na,100,100,protest,https://act.moveon.org/event/families-belong-together/20613/signup/?source=&s=,38.872076,-107.887023,100
Temecula,CA,na,300,300,protest,https://twitter.com/SDIndivisible/status/1013122035109670912,33.61495,-116.991241,300
Terre Haute,IN,over 150,150,150,protest,https://act.moveon.org/event/families-belong-together/20179/signup/?source=&s=,39.368594,-87.46032,150
The Dalles,OR,240,240,240,protest,https://act.moveon.org/event/families-belong-together/20357/signup/?source=&s=,45.601375,-121.179945,240
The Villages,FL,,,,protest,https://act.moveon.org/event/families-belong-together/20680/signup/?source=&s=,29.541748,-81.690404,
Tierra Amarilla,NM,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,36.7002922,-106.5497566,
Toledo,OH,more than 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20401/signup/?source=&s=,41.636195,-83.520476,500
Toms River,NJ,about 200,200,200,protest,https://act.moveon.org/event/families-belong-together/19998/signup/?source=&s=,39.9523706,-74.1957391,200
Topeka,KS,,,,protest,https://act.moveon.org/event/families-belong-together/20130/signup/?source=&s=,39.060192,-95.655594,
Tracy,CA,FB: 41,41,41,protest,https://www.facebook.com/events/1813274522045013/,37.743298,-121.436054,41
Traverse City,MI,video,340,360,protest,https://act.moveon.org/event/families-belong-together/20045/signup/?source=&s=,44.7610271,-85.6169256,350
Tri-Cities,WA,,,,protest,https://twitter.com/eigenseide/status/1013255425360195589,46.2306739,-119.0921006,
Troy,MI,roughly 70,70,70,protest,https://act.moveon.org/event/families-belong-together/20990/signup/?source=&s=,42.5636686,-83.1278462,70
Troy,MO,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/19985/signup/?source=&s=,38.987126,-90.972929,200
Truckee,CA,just 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20392/signup/?source=&s=,36.313008,-120.304777,300
Truth or Consequences,NM,,,,protest,https://act.moveon.org/event/families-belong-together/20038/signup/?source=&s=,33.160602,-107.266914,
Tulsa,OK,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20422/signup/?&source=&s=,36.039147,-95.868667,200
Tupelo,MS,dozens,24,24,protest,https://act.moveon.org/event/families-belong-together/20842/signup/?source=&s=,34.2570679,-88.7013654,24
Twin Falls,ID,100 +,100,100,protest,https://www.kpvi.com/news/political/families-belong-together--plus-gather-for-immigration-rally/article_7cc92f30-c479-5249-a89e-eabbe9ef9801.html,42.5983284,-114.4557663,100
Ukiah,CA,FB: 54,54,58,protest,https://act.moveon.org/event/families-belong-together/20604/signup/?source=&s=,39.150155,-123.206666,56
Ullin,IL,FB: 27,27,27,protest,https://thesouthern.com/nws-protest--jpg/image_55b5b229-6162-5172-b73e-9f6a16612a31.html,37.311021,-89.082897,27
University Park,MD,partial count from pics,52,52,protest,https://act.moveon.org/event/families-belong-together/20912/signup/?source=&s=,38.992516,-76.991021,52
Vacaville,CA,na,285,,protest,https://act.moveon.org/event/families-belong-together/20163/signup/?source=&s=,38.390982,-121.983208,285
Valdez,AK,FB: 7,7,7,protest,https://act.moveon.org/event/families-belong-together/20588/signup/?source=&s=,60.58114,-151.290548,7
Valdosta,GA,,,,protest,https://act.moveon.org/event/families-belong-together/20346/signup/?source=&s=,30.8325302,-83.2792503,
Valencia,CA,FB: 202,202,202,protest,https://act.moveon.org/event/families-belong-together/20227/signup/?source=&s=,34.408623,-118.567947,202
Vallejo,CA,FB: 80,80,80,protest,https://act.moveon.org/event/families-belong-together/20579/signup/?source=&s=,37.575313,-121.960154,80
Vancouver,WA,more than 500,500,500,protest,https://act.moveon.org/event/families-belong-together/20410/signup/?source=&s=,45.657837,-122.673168,500
Ventura,CA,na,750,750,protest,https://act.moveon.org/event/families-belong-together/19953/signup/?source=&s=,34.2684403,-119.2098942,750
Vermillion,SD,,,,protest,https://www.argusleader.com/story/news/2018/06/30/families-belong-together-protesters-rally-sioux-falls/743768002/,42.7795273,-96.929101,
Victorville,CA,FB: 183,183,183,protest,https://twitter.com/MarchAndRallyLA/status/1013128488314757120,34.448755,-117.411053,183
Vinalhaven,ME,partial count from pics,45,70,protest,https://act.moveon.org/event/families-belong-together/20791/signup/?source=&s=,44.080629,-69.186205,57.5
Vineyard Haven,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20715/signup/?source=&s=,41.373871,-70.624265,
Virginia,MN,,,,protest,https://act.moveon.org/event/families-belong-together/20955/signup/?source=&s=,47.50667,-92.529161,
Virginia Beach,VA,,,,protest,https://act.moveon.org/event/families-belong-together/19954/signup/?source=&s=,36.8289522,-76.1239167,
Visalia,CA,more than 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20417/signup/?source=&s=,36.3307839,-119.3084482,200
Waimea,HI,na,30,30,protest; march,https://www.facebook.com/northhawaiiaction/,20.020452,-155.66391,30
Walla Walla,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20192/signup/?source=&s=,46.047325,-118.306941,
Waltham,MA,,,,protest,https://act.moveon.org/event/families-belong-together/19932/signup/?source=&s=,42.3756401,-71.2358004,
Washington,DC,more than 30000; over 35000,30000,35000,protest,https://act.moveon.org/event/families-belong-together/19828/signup/?source=&s=,37.3125,-76.7569444,32500
Watertown,NY,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,43.9747838,-75.9107565,
Watsonville,CA,,,,protest,https://act.moveon.org/event/families-belong-together/20671/signup/?source=&s=,36.915196,-121.834545,
Wausau,WI,na,100,100,protest,https://act.moveon.org/event/families-belong-together/20478/signup/?source=&s=,44.598901,-90.268339,100
Wellfleet,MA,at least 250; na,250,275,protest,https://act.moveon.org/event/families-belong-together/19870/signup/?source=&s=,41.941016,-70.023789,262.5
Wellfleet,MA,na,175,175,protest,https://act.moveon.org/event/families-belong-together/20584/signup/?akid=undefined&zip=&source=,41.955667,-70.031099,175
Wenatchee,WA,several hundred,300,300,protest,http://www.kpq.com/family-separation-protest-in-wenatchee/,47.4228557,-120.3140195,300
West Chester,PA,more than 600,600,600,protest,https://act.moveon.org/event/families-belong-together/20066/signup/?source=&s=,39.965374,-75.544236,600
West Hartford,CT,na; about 200,170,200,protest,moveon.org,41.760517,-72.746763,185
West Hollywood,CA,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20685/signup/?source=&s=,34.08336,-118.387291,200
West Leyden,NY,count pic,9,9,protest,https://twitter.com/JessLivMo/status/1013123823313588224,43.4595139,-75.4637878,9
West Palm Beach,FL,more than 400; about 550,400,550,protest,https://www.palmbeachpost.com/news/local/hundreds-march-mar-lago-denounce-trump-immigration-stance/C1X2EBHQpL9oVQtO0FzCWN/,26.728844,-80.122647,475
West Plains,MO,,,,protest,https://act.moveon.org/event/families-belong-together/20461/signup/?source=&s=,36.740978,-91.871243,
West Point,CA,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,38.4061555,-120.5379171,
West Seattle,WA,,,,protest,https://act.moveon.org/event/families-belong-together/20557/signup/?source=&s=,47.5313453,-122.3967208,
Westborough,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20909/signup/?source=&s=,42.251596,-71.66664,
Westbury,NY,na,300,300,protest,https://act.moveon.org/event/families-belong-together/20273/signup/?source=&s=,40.752979,-73.587805,300
Westlake Village,CA,,43,43,protest,https://act.moveon.org/event/families-belong-together/19995/signup/?source=&s=,34.15224,-118.829072,43
Westminster,MD,over 100; 170,100,170,protest,https://act.moveon.org/event/families-belong-together/20764/signup/?source=&s=,39.57457,-76.994087,135
Wheeling,WV,more than 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20569/signup/?source=&s=,40.0639616,-80.7209149,100
White Plains,NY,neared 800,800,800,protest,https://act.moveon.org/event/families-belong-together/20294/signup/?source=&s=,41.030128,-73.750277,800
Wichita,KS,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20291/signup/?source=&s=,37.697279,-97.427112,200
Wichita Falls,TX,about 50,50,50,vigil,https://www.timesrecordnews.com/videos/news/2018/07/01/families-belong-together-candlelight-prayer-vigil/36535651/,33.9184023,-98.5160077,50
Wilkes Barre,PA,at least 150,150,150,protest,https://act.moveon.org/event/families-belong-together/20060/signup/?source=&s=,41.230578,-75.934534,150
Williamstown,MA,,,,protest,https://act.moveon.org/event/families-belong-together/20744/signup/?source=&s=,42.7136748,-73.2102758,
Willimantic,CT,50+; na,50,75,protest,via website,41.724493,-72.202065,62.5
Wilmington,DE,hundreds,200,200,protest,https://act.moveon.org/event/families-belong-together/20523/signup/?source=&s=,39.77032,-75.490369,200
Wilmington,OH,several hundred,200,200,protest,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,39.4453393,-83.8285375,200
Wilton,NH,more than 50,50,50,protest,https://act.moveon.org/event/families-belong-together/20062/signup/?source=&s=,42.877009,-71.741699,50
Winston Salem,NC,hundreds; FB: 362,200,362,protest,https://act.moveon.org/event/families-belong-together/20400/signup/?source=&s=,36.09066,-80.277878,281
Wisconsin Rapids,WI,na,16,16,protest,https://www.stevenspointjournal.com/story/news/2018/06/30/wisconsin-protesters-denounce-separation-immigrant-families/734264002/,44.389239,-89.820421,16
Woodbury,NJ,,,,protest,https://act.moveon.org/event/families-belong-together_attend1/search/,39.8381691,-75.1526774,
Woodstock,NY,about 200,200,200,protest,https://act.moveon.org/event/families-belong-together/20017/signup/?source=&s=,41.909714,-74.077637,200
Wooster,OH,estimated 250,250,250,protest,http://www.the-daily-record.com/news/20180624/were-all-immigrants-wooster-rally-highlights-recent-immigrant-struggles,40.830699,-81.895377,250
Worcester,MA,300 to 400,300,400,protest,https://act.moveon.org/event/families-belong-together/20272/signup/?source=&s=,42.263611,-71.789996,350
Yakima,WA,more than 300,300,300,protest,https://act.moveon.org/event/families-belong-together/20234/signup/?source=&s=,46.7296107,-120.6990526,300
York,PA,more than 100,100,100,protest,https://act.moveon.org/event/families-belong-together/20482/signup/?source=&s=,39.949562,-76.749838,100
Youngstown,OH,about 200,200,200,protest,https://twitter.com/newspangler/status/1013135963009245184,41.1004304,-80.649058,200
Yucca Valley,CA,na,35,35,protest,https://act.moveon.org/event/families-belong-together/20225/signup/?source=&s=,40.513958,-121.674067,35
Yuma ,CO,FB: 17,17,17,protest; march,https://www.facebook.com/events/946014845605646/,40.124886,-102.728079,17
